"variable-id","variable-name","definition","other-metadata","data-collection-guidelines"
"cable_id","Cable ID","Unique short identifier for the cable system within this dataset.","Format: short slug, lowercase, hyphenated (e.g. 'equiano', '2africa', 'seacom-1'). Primary key. Comments: assign sequentially; never reuse a retired ID.","Assigned by the dataset compiler. Must be unique. Keep stable across dataset versions so external references do not break."
"cable_name","Cable Name","Official/common name of the submarine cable system.","Format: free text (proper noun). Comments: use the name used by the owner/consortium; record alternative or former names in 'notes'.","Source from the cable owner's official materials or the system's TeleGeography/Submarine Networks entry. Prefer the operator's own spelling and capitalisation."
"status","Operational Status","Current lifecycle stage of the cable system.","Format: controlled vocabulary {planned, approved, under-construction, ready-for-service, in-service, upgraded, retired/decommissioned, fault-suspended}. Comments: 'in-service' = carrying live traffic.","Determine from the most recent authoritative source. Where status is contested or transitional, record the date of the status in 'as_of_date' and explain in 'notes'."
"approval_year","Approval Year","Calendar year the project received final go-ahead (financial close, consortium agreement signed, or regulatory/board approval).","Format: YYYY (integer). Unit: Gregorian year. Comments: if only an announcement (not approval) is known, leave blank and note in 'notes'; do not conflate announcement with approval.","Cite a primary source (consortium press release, regulatory filing, financial-close announcement). Distinguish 'announced' from 'approved/financial close'. If uncertain, mark blank rather than estimate."
"construction_start_year","Construction Start Year","Calendar year physical cable-lay / installation work began, or is planned to begin.","Format: YYYY (integer). Comments: append flag in 'date_basis' field {actual, planned, estimated}. Was previously labelled 'Build Year'.","Use marine-survey or cable-lay commencement where reported. If planned/estimated, record 'planned' in 'date_basis' and cite the source of the projection."
"rfs_year","Ready-for-Service (RFS) Year","Calendar year the cable entered (or is planned to enter) commercial service and began carrying live traffic. Industry-standard term for 'lit year'.","Format: YYYY (integer). Synonyms: 'Lit Year', 'In-Service Year'. Comments: record actual vs planned in 'date_basis'.","RFS dates are published by operators and tracked by TeleGeography. Where actual differs from originally planned RFS, record actual and note the original in 'notes'."
"end_of_life_year","End-of-Life (EOL) Year","Calendar year the cable is expected to be retired / decommissioned, based on its design life (typically ~25 years from RFS).","Format: YYYY (integer). Comments: if not officially stated, derive as RFS year + design life and flag as 'estimated' in 'date_basis'. State design life in 'notes'.","Prefer an officially stated design life. If estimating, use RFS + 25 years (standard subsea design life) and clearly mark as estimated; never present an estimate as confirmed."
"controlling_owner","Controlling Owner","The entity with effective control over the cable system (largest shareholder, consortium lead, or sole owner).","Format: free text (legal entity name). Comments: name the operating/controlling entity, not a brand, where they differ. For sole-owned cables this equals the owner.","Identify the lead/controlling party from consortium documentation or corporate filings. Where control is disputed or unclear, record the lead funder and explain in 'notes'."
"owner_hq_country","Controlling Owner HQ Country","Country in which the controlling owner is headquartered / domiciled.","Format: ISO 3166-1 alpha-2 country code (e.g. US, ZA, FR). Comments: relevant to sovereignty/jurisdiction analysis.","Use the ultimate parent's headquarters jurisdiction, tracing through holding companies where possible. Record the immediate vs ultimate parent in 'notes' if they differ."
"ownership_model","Ownership Model","Structural model of ownership.","Format: controlled vocabulary {sole-owned (private), consortium, joint-venture, state-owned, public-private}. Comments: 'sole-owned (private)' captures hyperscaler-owned cables (e.g. Equiano, Umoja, Waterworth).","Classify from ownership documentation. Where a cable is consortium-built but one party dominates, use 'consortium' and note dominance in 'notes'."
"shareholders","Shareholders (with percentage)","List of equity holders and their percentage stakes in the cable system.","Format: semicolon-separated 'Entity (NN%)' pairs (e.g. 'Remgro (30%); IPS (30%); Sanlam (15%)'). Comments: if splits are undisclosed, enter 'undisclosed' and record members in 'notes'.","Use disclosed equity/capacity splits from filings or operator statements only. DO NOT estimate percentages. If unpublished, state 'undisclosed' explicitly — this is itself a finding."
